2023-03-16 18:20:06.8008|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:20:06 - IP: ::1 - Path: /admin/Categories |url: https://localhost/admin/Categories|action: Index|TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:20:06.8254|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:20:06 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:20:07.0591|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:20:07 - IP: ::1 - Path: /admin/Authors |url: https://localhost/admin/Authors|action: Index|TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:20:07.0842|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:20:07 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:20:07.6419|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:20:07 - IP: ::1 - Path: /admin/Comments |url: https://localhost/admin/Comments|action: Index|TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:20:07.6739|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:20:07 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:21:24.2937|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:21:24 - IP: ::1 - Path: /admin/Posts/Edit |url: https://localhost/admin/Posts/Edit|action: Edit|TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:21:24.4879|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:21:24 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:28:09.0804|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:28:09 - IP: ::1 - Path: /admin/Posts |url: https://localhost/admin/Posts|action: Index|TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:28:09.0804|0|INFO|TatBlog.WebApp.Areas.Admin.Controllers.PostsController|Tạo điều kiện truy vấn |url: https://localhost/admin/Posts|action: Index|TatBlog.WebApp.Areas.Admin.Controllers.PostsController.Index
2023-03-16 18:28:09.0912|0|INFO|TatBlog.WebApp.Areas.Admin.Controllers.PostsController|Lấy danh sách bài viết từ CSDL |url: https://localhost/admin/Posts|action: Index|TatBlog.WebApp.Areas.Admin.Controllers.PostsController.Index
2023-03-16 18:28:09.1379|0|INFO|TatBlog.WebApp.Areas.Admin.Controllers.PostsController|Chuẩn bị dữ liệu cho ViewModel |url: https://localhost/admin/Posts|action: Index|TatBlog.WebApp.Areas.Admin.Controllers.PostsController.Index
2023-03-16 18:28:09.1692|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:28:09 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:28:27.6683|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:28:27 - IP: ::1 - Path: /admin/Posts |url: https://localhost/admin/Posts|action: Index|TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:28:27.6683|0|INFO|TatBlog.WebApp.Areas.Admin.Controllers.PostsController|Tạo điều kiện truy vấn |url: https://localhost/admin/Posts|action: Index|TatBlog.WebApp.Areas.Admin.Controllers.PostsController.Index
2023-03-16 18:28:27.6683|0|INFO|TatBlog.WebApp.Areas.Admin.Controllers.PostsController|Lấy danh sách bài viết từ CSDL |url: https://localhost/admin/Posts|action: Index|TatBlog.WebApp.Areas.Admin.Controllers.PostsController.Index
